id,package_name,version_code,release_date,NBI,NOC,NOM,IPM,CC,WMC,NOCH,DIT,LCOM,CBO,PPIV,APD,BSMC,WKL,LOCL,GPS,XML,NTO,NET,I/O,SQL,BMAP
2,com.f2prateek.dfg,1.1.3,November 05 2013,77941,731,5065,15.388154,4150,28754.78796,1,2,39.03735888,0.46374829,10.09125067,0.502051984,13,0,0,0,0,0,0,32,0,16
4,com.midisheetmusic,2.5.1,November 05 2012,20975,68,565,37.12389381,1171,9729.632353,0,1,54.74561102,0.073529412,19.09090909,4.308823529,21,0,0,0,0,0,0,7,0,16
11,ohi.andre.consolelauncher,4.5.b1,July 08 2016,175152,1740,14398,12.16502292,11008,91088.03678,4,2,51.00216118,0.448275862,8.85665529,0.513218391,78,1,0,0,1,0,0,96,0,3
14,org.connectbot,1.8.6,August 28 2015,121988,719,4338,28.12079299,5617,33889.49374,2,4,25.93165416,0.372739917,11.94748359,1.21418637,54,0,0,0,0,0,0,9,73,0
15,org.connectbot,1.8.7,November 25 2015,121990,719,4338,28.12125403,5617,33889.49374,2,4,25.93165416,0.372739917,11.94748359,1.21418637,54,0,0,0,0,0,0,9,73,0
38,org.nick.wwwjdic,2.3.7,January 19 2015,133288,1075,8972,14.85599643,7662,63947.40837,3,3,53.01792815,0.381395349,8.55721393,0.581395349,117,1,0,0,2,6,3,62,52,2
42,net.pierrox.mcompass,1.2.4,January 21 2012,2210,6,31,71.29032258,38,196.3333333,0,1,72.36909915,0.0,4.761904762,0.0,1,0,0,0,0,0,0,0,0,0
51,org.mysociety.FixMyStreet,2.0.4,September 29 2014,46410,257,1914,24.2476489,2491,18551.64981,0,1,0.0,0.80155642,11.27012522,1.848249027,30,0,1,0,0,0,1,72,5,4
64,mohammad.adib.roundr,3.0.1,June 19 2013,4222,39,205,20.59512195,197,1035.512821,0,1,31.04395604,0.461538462,41.13475177,2.717948718,3,0,0,0,0,0,0,0,0,0
86,com.ihunda.android.binauralbeat,2.0.3,October 11 2012,9982,97,490,20.37142857,314,1586.185567,0,1,46.72474332,0.12371134,13.94230769,1.06185567,10,2,0,0,0,0,0,0,0,7
93,com.ghostsq.commander,1.53.6,June 10 2016,137634,1034,7840,17.55535714,8231,62409.12959,2,4,43.72618164,0.329787234,13.25734853,1.65860735,30,4,0,0,0,0,0,161,0,8
95,com.namelessdev.mpdroid,1.06,December 24 2013,106224,907,6985,15.20744452,6057,46646.24587,4,3,43.33237935,0.364939361,12.54331254,0.815876516,36,1,0,0,0,2,1,24,0,9
96,com.namelessdev.mpdroid,1.07.2,January 14 2015,168442,1529,12623,13.3440545,10540,87015.3172,1,3,47.88232774,0.412034009,7.542041787,0.571615435,103,1,0,0,1,2,1,42,0,12
100,com.byagowi.persiancalendar,5.0.6,March 08 2016,139791,1190,9139,15.29609366,10085,77451.10504,0,1,44.73045868,0.640336134,5.827715356,0.53697479,26,0,0,0,1,0,0,8,0,3
101,com.byagowi.persiancalendar,5.1.0,April 04 2016,140989,1205,9195,15.33322458,10130,77299.04564,0,1,42.09009507,0.635684647,5.752608048,0.507053942,24,0,1,0,1,0,0,8,0,3
108,com.fsck.k9,5.007,November 29 2015,445793,2714,21833,20.41831173,24891,200237.7314,1,3,40.77916982,0.418570376,14.50830379,2.172807664,124,14,0,0,6,0,1,377,238,4
109,com.fsck.k9,5.008,February 10 2016,445793,2714,21833,20.41831173,24891,200237.7314,1,3,40.77916982,0.418570376,14.50830379,2.172807664,124,14,0,0,6,0,1,377,238,4
110,com.fsck.k9,5.010,April 15 2016,445979,2720,21849,20.4118724,24898,199998.6772,1,3,40.77916982,0.418382353,14.5135715,2.16875,124,14,0,0,6,0,1,384,238,4
112,org.dmfs.tasks,1.1.6,April 06 2015,130639,1490,11194,11.67044845,9142,68681.57584,1,4,52.8527718,0.389932886,8.430958325,0.508724832,79,1,0,0,1,0,0,24,163,3
113,org.dmfs.tasks,1.1.8.2,February 12 2016,232032,2431,18638,12.44940444,16612,127360.9445,1,4,51.61492128,0.432743727,10.25612222,0.596462361,101,1,0,0,1,0,0,24,193,3
115,com.numix.calculator,2.2,August 20 2014,157290,976,7509,20.94686376,9047,69604.4293,3,2,52.50438694,0.421106557,22.31629876,2.840163934,20,1,0,0,1,3,0,17,0,5
119,net.fred.feedex,1.8.1,April 11 2015,121333,1131,7732,15.69231764,8972,61336.43148,1,2,33.4516024,0.572060124,10.13910355,0.625110522,59,0,0,0,1,0,0,33,22,10
121,net.fred.feedex,1.9.1,March 27 2016,164689,1625,10686,15.41166012,11530,75821.28,1,2,34.31010857,0.611076923,12.44541485,0.832615385,60,0,0,0,1,0,0,43,22,5
129,com.mgaetan89.showsrage,1.1,October 19 2015,305990,2849,22123,13.83130678,18823,146163.9975,15,2,50.73865506,0.517023517,9.112572681,0.619164619,120,1,0,0,1,2,0,59,0,5
137,marto.rtl_tcp_andro,2.2,December 09 2014,48079,543,4058,11.84795466,2988,22330.20994,0,1,37.18596059,0.38305709,7.556859868,0.320441989,14,2,0,0,0,0,0,12,0,1
138,net.osmand.plus,2.3.5,May 19 2016,850919,4515,47957,17.74337427,50393,535259.6016,1,5,48.21615267,0.509191584,14.6157564,2.005758583,292,3,1,1,2,0,0,189,39,22
140,net.osmand.plus,2.4.6,September 08 2016,953643,4845,53631,17.7815629,58072,642819.2842,1,5,48.45670609,0.513312693,13.48354163,1.793601651,301,3,1,1,2,0,0,199,39,23
152,org.openintents.safe,1.4.2-alpha,May 20 2014,51801,488,3427,15.11555296,2847,19993.17418,2,2,33.36268959,0.284836066,10.57951482,0.538934426,100,0,0,0,1,0,0,25,50,0
155,com.nolanlawson.keepscore,1.5.1,March 10 2014,72726,651,4853,14.98578199,4941,36833.59908,1,2,32.55460356,0.479262673,8.744769874,0.732718894,81,1,0,0,1,0,0,16,36,0
156,org.thialfihar.android.apg,1.0.9,November 12 2013,194464,1342,6942,28.01267646,7212,37306.7839,1,3,24.95705656,0.402384501,21.11880934,1.579731744,66,0,0,0,0,0,0,20,51,0
157,org.thialfihar.android.apg,1.1.1,April 04 2014,380384,3533,16849,22.57605793,17400,82981.20577,3,2,30.04062925,0.490801019,21.50132861,1.765638268,73,0,0,0,1,0,1,34,45,2
166,de.j4velin.systemappmover,1.7,November 20 2015,8908,66,346,25.74566474,339,1777.181818,0,1,38.41714286,0.439393939,19.7740113,0.787878788,16,0,0,0,0,0,0,14,0,0
169,jwtc.android.chess,8.4.3,August 31 2014,79077,740,5052,15.65261283,4204,28700.82162,5,2,25.55361003,0.297297297,10.41275797,1.875675676,84,5,0,0,0,0,0,21,16,17
184,com.moez.QKSMS,2.7.1,August 07 2016,284577,2387,15731,18.09020406,16758,110439.9238,3,4,45.13545424,0.404692082,15.62898699,1.073732719,121,4,0,0,1,3,1,48,0,20
186,com.moez.QKSMS,2.7.3,September 08 2016,284640,2388,15737,18.08731016,16765,110481.9116,3,4,45.15415482,0.404522613,15.63576074,1.073701843,122,4,0,0,1,3,1,48,0,21
197,org.michaelevans.nightmodeenabler,1.0,August 29 2016,155738,1625,13201,11.79743959,9998,81220.67569,0,1,47.02048417,0.462769231,7.302158273,0.436923077,81,1,0,0,1,0,0,24,0,3
199,org.linphone,2.5.1-fdroid,September 05 2015,137991,1430,11959,11.5386738,7414,62002.81538,2,2,38.71686192,0.265034965,11.43994031,0.934965035,54,2,0,0,0,0,0,28,24,25
200,org.linphone,3.1.0-fdroid,March 15 2016,156576,1697,13787,11.35678538,8296,67399.50029,1,2,38.41314147,0.27695934,11.2033195,0.883912787,88,3,0,0,0,0,0,30,19,21
202,ru.gelin.android.sendtosd,0.3.10c,January 09 2015,5492,88,388,14.15463918,209,921.5,2,4,50.54217869,0.022727273,20.46783626,0.545454545,12,0,0,0,0,0,0,24,0,0
203,ru.gelin.android.sendtosd,0.3.11,February 02 2015,5483,88,387,14.16795866,209,919.125,2,4,50.05606758,0.022727273,20.46783626,0.545454545,12,0,0,0,0,0,0,24,0,0
209,org.servalproject,0.91,July 22 2013,94240,526,6398,14.729603,4320,52546.31179,1,4,47.32682662,0.325095057,17.97454931,2.224334601,47,3,0,0,0,0,0,92,8,1
221,net.bible.android.activity,2.5.1,April 17 2016,526612,3585,27146,19.39924851,28590,216486.5105,0,1,85.45454545,0.60390516,13.69829684,1.428172943,123,1,0,0,8,0,0,205,35,1
222,net.bible.android.activity,2.7.0,September 15 2016,651130,4731,36729,17.72795339,36823,285874.4382,0,1,89.26940639,0.585288523,11.91459654,1.204819277,148,1,0,0,8,0,0,210,38,3
233,fr.neamar.kiss,2.25.0,August 03 2016,10645,115,511,20.83170254,461,2048.443478,1,2,39.63792026,0.0,22.34042553,0.443478261,21,0,0,0,0,0,0,4,24,2
255,org.telegram.messenger,3.10.1,August 02 2016,743404,5499,32969,22.54857594,44175,264849.168,2,5,38.41906508,0.406801237,20.92999696,1.642662302,170,8,1,0,1,2,0,209,0,26
258,com.bleyl.recurrence,1.4.2,May 26 2016,142186,1332,9882,14.38838292,10667,79137.60811,1,2,43.20308951,0.573573574,7.224334601,0.782282282,47,0,0,0,1,0,0,8,30,0
276,com.frozendevs.cache.cleaner,2.2.0,November 05 2015,84285,749,5901,14.28317234,6504,51241.79439,0,1,46.7558977,0.503337784,7.14893617,0.420560748,63,0,0,0,1,0,0,10,0,0
279,org.dsandler.apps.markers,1.2.3,February 22 2014,8044,38,350,22.98285714,361,3325.0,0,1,62.5,0.657894737,12.59259259,2.947368421,15,0,0,0,0,0,0,8,0,6
282,org.scid.android,1.42,March 15 2013,60326,517,3777,15.9719354,3706,27074.58801,1,3,37.39488404,0.272727273,10.34031414,0.49516441,110,0,0,0,1,0,0,52,0,3
288,net.sourceforge.opencamera,1.32,July 22 2016,123726,1281,9913,12.48118632,7092,54881.33958,3,2,29.37090716,0.335675254,7.253582919,0.334894614,30,1,1,0,0,0,0,32,0,10
289,net.sourceforge.opencamera,1.32.1,July 27 2016,124306,1281,9925,12.52453401,7120,55164.71507,3,2,29.415638,0.335675254,7.267950963,0.335675254,30,1,1,0,0,0,0,33,0,11
290,net.sourceforge.opencamera,1.33,August 29 2016,127260,1293,10023,12.69679737,7278,56417.16473,4,2,30.63170418,0.332559938,7.385229541,0.351121423,30,1,1,0,0,0,0,32,0,11
292,org.sickstache,2.2.2,October 27 2012,94645,948,7004,13.51299258,5646,41713.6962,3,4,45.13665075,0.448312236,17.49363868,1.024261603,58,0,0,0,1,0,0,25,0,4
