id,package_name,version_code,release_date,cat
2,com.f2prateek.dfg,1.1.3,November 05 2013,Tools
4,com.midisheetmusic,2.5.1,November 05 2012,Music & Audio
11,ohi.andre.consolelauncher,4.5.b1,July 08 2016,Personalization
14,org.connectbot,1.8.6,August 28 2015,Communication
15,org.connectbot,1.8.7,November 25 2015,Communication
38,org.nick.wwwjdic,2.3.7,January 19 2015,Books & Reference
42,net.pierrox.mcompass,1.2.4,January 21 2012,Tools
51,org.mysociety.FixMyStreet,2.0.4,September 29 2014,Travel & Local
64,mohammad.adib.roundr,3.0.1,June 19 2013,Personalization
86,com.ihunda.android.binauralbeat,2.0.3,October 11 2012,Health & Fitness
93,com.ghostsq.commander,1.53.6,June 10 2016,Tools
95,com.namelessdev.mpdroid,1.06,December 24 2013,Video Players & Editors
96,com.namelessdev.mpdroid,1.07.2,January 14 2015,Video Players & Editors
100,com.byagowi.persiancalendar,5.0.6,March 08 2016,Productivity
101,com.byagowi.persiancalendar,5.1.0,April 04 2016,Productivity
108,com.fsck.k9,5.007,November 29 2015,Communication
109,com.fsck.k9,5.008,February 10 2016,Communication
110,com.fsck.k9,5.010,April 15 2016,Communication
112,org.dmfs.tasks,1.1.6,April 06 2015,Productivity
113,org.dmfs.tasks,1.1.8.2,February 12 2016,Productivity
115,com.numix.calculator,2.2,August 20 2014,Tools
119,net.fred.feedex,1.8.1,April 11 2015,News & Magazines
121,net.fred.feedex,1.9.1,March 27 2016,News & Magazines
129,com.mgaetan89.showsrage,1.1,October 19 2015,Video Players & Editors
137,marto.rtl_tcp_andro,2.2,December 09 2014,Tools
138,net.osmand.plus,2.3.5,May 19 2016,Travel & Local
140,net.osmand.plus,2.4.6,September 08 2016,Travel & Local
152,org.openintents.safe,1.4.2-alpha,May 20 2014,Tools
155,com.nolanlawson.keepscore,1.5.1,March 10 2014,Tools
156,org.thialfihar.android.apg,1.0.9,November 12 2013,Communication
157,org.thialfihar.android.apg,1.1.1,April 04 2014,Communication
166,de.j4velin.systemappmover,1.7,November 20 2015,Tools
169,jwtc.android.chess,8.4.3,August 31 2014,Games
184,com.moez.QKSMS,2.7.1,August 07 2016,Communication
186,com.moez.QKSMS,2.7.3,September 08 2016,Communication
197,org.michaelevans.nightmodeenabler,1.0,August 29 2016,Personalization
199,org.linphone,2.5.1-fdroid,September 05 2015,Communication
200,org.linphone,3.1.0-fdroid,March 15 2016,Communication
202,ru.gelin.android.sendtosd,0.3.10c,January 09 2015,Tools
203,ru.gelin.android.sendtosd,0.3.11,February 02 2015,Tools
209,org.servalproject,0.91,July 22 2013,Communication
221,net.bible.android.activity,2.5.1,April 17 2016,Books & Reference
222,net.bible.android.activity,2.7.0,September 15 2016,Books & Reference
233,fr.neamar.kiss,2.25.0,August 03 2016,Personalization
255,org.telegram.messenger,3.10.1,August 02 2016,Communication
258,com.bleyl.recurrence,1.4.2,May 26 2016,Productivity
276,com.frozendevs.cache.cleaner,2.2.0,November 05 2015,Tools
279,org.dsandler.apps.markers,1.2.3,February 22 2014,Video Players & Editors
282,org.scid.android,1.42,March 15 2013,Games
288,net.sourceforge.opencamera,1.32,July 22 2016,Photography
289,net.sourceforge.opencamera,1.32.1,July 27 2016,Photography
290,net.sourceforge.opencamera,1.33,August 29 2016,Photography
292,org.sickstache,2.2.2,October 27 2012,Tools
299,com.watabou.pixeldungeon,1.7.5a,January 26 2015,Games
300,com.watabou.pixeldungeon,1.9.1,October 05 2015,Games
302,com.concentricsky.android.khan,1.2.2,December 11 2013,Education
307,com.alfray.timeriffic,1.09.05,January 31 2011,Tools
315,name.boyle.chris.sgtpuzzles,2015-09-10-2219-eda5a86,September 14 2015,Games
316,name.boyle.chris.sgtpuzzles,2016-01-13-0847-1d9d6cb,January 15 2016,Games
318,github.daneren2005.dsub,4.3.5,January 15 2014,Music & Audio
319,github.daneren2005.dsub,5.0.3,October 08 2015,Music & Audio
351,de.srlabs.snoopsnitch,1.0.1,January 04 2016,Tools
364,com.colinmcdonough.android.torch,0.2.3,April 22 2013,Tools
373,vu.de.urpool.quickdroid,4.4,February 02 2014,Tools
